Item_ciego,Completitud(1-5),Ausencia_ambiguedad(1-5),Verificabilidad(1-5),Correccion_fuente(1-5),Consistencia_interna(1-5)
Item-01,3,4,3,3,2
Item-02,5,4,3,4,4
Item-03,5,5,5,5,5
Item-04,4,4,4,4,4
Item-05,5,4,5,5,5
Item-06,3,4,4,5,4
Item-07,5,5,5,5,5
Item-08,4,4,5,4,3
Item-09,3,3,2,1,3
Item-10,4,3,4,2,3
Item-11,1,3,3,3,1
Item-12,3,4,3,4,5
Item-13,5,4,5,5,4
Item-14,4,3,4,4,4
Item-15,3,3,3,4,3
Item-16,5,5,3,4,4
Item-17,2,2,2,2,2
Item-18,4,4,4,4,4
Item-19,4,5,5,5,4
Item-20,4,4,4,4,5
Item-21,4,5,5,5,5
Item-22,2,2,3,1,2
Item-23,2,1,1,2,2
Item-24,4,3,4,4,4
Item-25,4,5,5,5,5
Item-26,3,4,3,2,3
Item-27,5,5,5,5,5
Item-28,5,5,5,5,5
Item-29,4,5,5,5,5
Item-30,4,5,4,5,4
Item-31,5,5,5,5,5
Item-32,5,5,5,5,4
Item-33,5,5,5,5,4
Item-34,4,4,3,4,5
Item-35,4,5,5,4,5
Item-36,2,2,2,3,2
Item-37,4,4,5,5,4
Item-38,3,2,1,2,3
Item-39,4,5,5,3,3
Item-40,4,3,4,5,4
Item-41,5,5,5,5,4
Item-42,5,3,4,5,4
Item-43,5,5,5,5,5
Item-44,5,4,4,4,4
Item-45,1,1,2,2,3
Item-46,4,3,3,3,3
Item-47,2,3,2,2,3
Item-48,2,1,2,2,3
Item-49,2,3,2,2,4
Item-50,3,2,2,3,2
Item-51,2,2,2,3,1
