Item_ciego,Completitud(1-5),Ausencia_ambiguedad(1-5),Verificabilidad(1-5),Correccion_fuente(1-5),Consistencia_interna(1-5)
Item-01,5,5,5,5,5
Item-02,5,5,5,5,5
Item-03,3,4,5,4,5
Item-04,4,4,4,4,3
Item-05,5,5,5,5,5
Item-06,4,4,2,3,3
Item-07,5,4,4,5,4
Item-08,3,3,4,4,4
Item-09,5,5,5,5,4
Item-10,4,4,5,5,5
Item-11,5,5,5,5,5
Item-12,3,5,4,4,4
Item-13,4,5,4,4,4
Item-14,5,5,5,5,5
Item-15,4,3,3,4,4
Item-16,3,4,4,5,5
Item-17,4,4,4,5,4
Item-18,5,5,5,5,5
Item-19,2,3,2,3,2
Item-20,2,3,1,2,1
Item-21,5,4,4,3,5
Item-22,5,5,4,5,4
Item-23,5,3,4,3,2
Item-24,4,4,4,5,4
Item-25,4,3,3,4,5
Item-26,3,3,2,2,2
Item-27,5,5,5,5,5
Item-28,3,3,3,3,3
Item-29,5,5,4,5,5
Item-30,4,3,5,4,3
Item-31,5,5,5,5,5
Item-32,4,4,3,5,5
Item-33,5,4,4,4,5
Item-34,3,3,3,4,3
Item-35,5,5,3,3,5
Item-36,4,3,3,4,5
Item-37,3,3,3,2,4
Item-38,3,2,3,3,1
Item-39,5,4,4,3,4
Item-40,4,3,4,3,4
Item-41,3,4,3,4,4
Item-42,5,5,5,4,4
Item-43,3,4,3,3,4
Item-44,4,5,4,5,5
Item-45,4,3,4,5,5
Item-46,3,2,3,4,3
Item-47,3,2,3,2,1
Item-48,5,4,4,3,4
Item-49,2,4,2,4,4
Item-50,4,4,4,4,5
Item-51,3,3,1,1,1
