Item_ciego,Completitud(1-5),Ausencia_ambiguedad(1-5),Verificabilidad(1-5),Correccion_fuente(1-5),Consistencia_interna(1-5)
Item-01,5,4,4,5,5
Item-02,5,5,5,5,4
Item-03,5,4,4,5,3
Item-04,2,4,5,4,3
Item-05,5,5,5,3,4
Item-06,4,5,3,3,3
Item-07,3,3,3,3,4
Item-08,5,2,4,2,4
Item-09,5,4,4,5,5
Item-10,5,4,4,4,4
Item-11,5,5,5,4,5
Item-12,5,5,5,5,5
Item-13,5,5,5,5,4
Item-14,5,5,5,5,5
Item-15,2,2,2,3,2
Item-16,3,4,3,5,4
Item-17,3,4,2,3,4
Item-18,5,4,5,4,4
Item-19,5,4,5,5,5
Item-20,4,5,5,5,5
Item-21,4,5,3,5,3
Item-22,4,4,5,4,5
Item-23,5,5,5,4,4
Item-24,5,5,5,5,5
Item-25,4,3,3,5,4
Item-26,3,5,3,3,3
Item-27,5,5,5,5,5
Item-28,5,4,3,5,4
Item-29,5,5,5,5,5
Item-30,3,4,4,3,3
Item-31,3,5,4,4,3
Item-32,4,4,5,5,4
Item-33,4,5,5,5,4
Item-34,4,5,5,3,3
Item-35,5,5,5,5,4
Item-36,5,5,5,5,4
Item-37,4,5,5,5,5
Item-38,5,2,5,3,4
Item-39,3,3,4,3,4
Item-40,5,5,5,4,5
Item-41,5,5,5,4,5
Item-42,3,2,4,3,4
Item-43,5,4,4,5,4
Item-44,3,3,3,2,3
Item-45,5,4,3,4,4
Item-46,3,4,4,4,4
Item-47,4,5,5,4,5
Item-48,5,5,4,5,4
Item-49,5,5,5,5,5
Item-50,4,5,5,5,5
Item-51,4,5,4,4,5
