Item_ciego,Completitud(1-5),Ausencia_ambiguedad(1-5),Verificabilidad(1-5),Correccion_fuente(1-5),Consistencia_interna(1-5)
Item-01,3,3,3,3,3
Item-02,3,4,2,3,3
Item-03,2,2,3,3,4
Item-04,4,4,5,3,5
Item-05,5,5,5,4,5
Item-06,4,5,4,4,4
Item-07,4,5,4,5,5
Item-08,1,2,2,3,3
Item-09,5,4,3,4,5
Item-10,5,5,5,5,5
Item-11,3,2,3,4,2
Item-12,1,3,2,2,2
Item-13,4,3,4,4,2
Item-14,5,5,5,5,5
Item-15,5,5,4,5,5
Item-16,4,1,1,2,3
Item-17,4,5,4,4,5
Item-18,4,3,5,4,4
Item-19,4,5,4,5,5
Item-20,3,5,4,5,3
Item-21,5,4,5,5,4
Item-22,2,4,3,4,3
Item-23,5,5,5,5,4
Item-24,5,5,4,3,5
Item-25,5,5,5,4,5
Item-26,3,5,4,3,4
Item-27,4,4,4,4,4
Item-28,2,3,3,3,3
Item-29,5,5,5,4,4
Item-30,3,4,3,4,3
Item-31,2,4,3,3,3
Item-32,2,2,4,2,2
Item-33,2,2,2,3,2
Item-34,5,4,4,4,4
Item-35,2,3,2,3,2
Item-36,5,5,5,5,5
Item-37,5,5,5,4,5
Item-38,5,4,4,4,5
Item-39,5,5,4,4,4
Item-40,2,4,4,4,3
Item-41,2,3,1,4,3
Item-42,3,4,3,4,5
Item-43,5,5,5,5,5
Item-44,3,4,5,3,5
Item-45,3,4,3,3,3
Item-46,3,4,5,3,5
Item-47,4,5,4,5,4
Item-48,3,3,2,3,3
Item-49,4,4,3,4,5
Item-50,5,5,5,5,5
Item-51,4,5,4,5,4
