Item_ciego,Completitud(1-5),Ausencia_ambiguedad(1-5),Verificabilidad(1-5),Correccion_fuente(1-5),Consistencia_interna(1-5)
Item-01,3,2,2,3,4
Item-02,4,4,4,3,2
Item-03,5,5,5,5,4
Item-04,3,2,2,2,2
Item-05,5,5,5,5,5
Item-06,2,3,1,2,3
Item-07,4,3,4,5,3
Item-08,5,5,5,5,5
Item-09,5,5,5,5,5
Item-10,5,5,4,4,4
Item-11,4,5,4,5,3
Item-12,3,3,4,5,3
Item-13,5,5,5,5,5
Item-14,4,4,4,3,5
Item-15,3,3,5,5,4
Item-16,5,3,4,4,4
Item-17,3,4,5,5,4
Item-18,4,4,4,4,5
Item-19,2,3,5,3,2
Item-20,3,3,3,4,4
Item-21,5,5,5,5,4
Item-22,3,2,2,2,3
Item-23,5,5,5,5,5
Item-24,3,3,2,3,3
Item-25,5,5,5,5,5
Item-26,5,5,5,5,5
Item-27,5,5,5,5,5
Item-28,4,4,5,5,4
Item-29,4,5,3,4,5
Item-30,3,3,4,4,2
Item-31,3,4,3,4,5
Item-32,5,5,4,5,5
Item-33,5,5,5,5,5
Item-34,4,4,2,3,2
Item-35,4,3,5,5,5
Item-36,5,5,5,4,5
Item-37,5,5,5,5,5
Item-38,4,3,4,4,3
Item-39,2,3,3,3,4
Item-40,5,4,5,4,5
Item-41,5,4,3,5,5
Item-42,5,5,5,5,5
Item-43,4,5,4,5,5
Item-44,5,4,5,4,5
Item-45,4,2,3,4,3
Item-46,5,3,5,4,5
Item-47,3,2,2,2,2
Item-48,3,3,3,4,3
Item-49,3,3,3,2,4
Item-50,5,5,3,5,4
Item-51,4,5,5,5,5
